CMP1220,スポーツ,スポーツスタディ１(太極拳),佐野　信子,春,火,２ NTE1,新座,,
CMP1220,スポーツ,スポーツスタディ２(セルフケア･エクササイズ),杉本　亮子,春,火,２ P401,池袋,,
CMP1220,スポーツ,スポーツスタディ２(ウォーター･エクササイズ),小谷　実可子,春,火,２ PB11,池袋,,
CMP1220,スポーツ,スポーツスタディ２(セルフケア･エクササイズ),杉本　亮子,秋,火,２ P401,池袋,,
CMP1220,スポーツ,スポーツスタディ２(ウォーター･エクササイズ),小谷　実可子,秋,火,２ PB11,池袋,,
CMP1210,スポーツ,スポーツプログラムＢ(テニス),後藤　光将,春,火,２ NZT1,新座,,
CMP1210,スポーツ,スポーツプログラムＢ(ソフトボール),柳田　信也,春,火,２ NZA1,新座,,
CMP1210,スポーツ,スポーツプログラムＢ(バレーボール),村本　伸幸,春,火,２ PB21,池袋,,
CMP1210,スポーツ,スポーツプログラムＧ(ソフトボール),柳田　信也,秋,火,２ NZA1,新座,,
CMP1210,スポーツ,スポーツプログラムＧ(バレーボール),村本　伸幸,秋,火,２ PB21,池袋,,
CMP1100,学び精神,世界史の中のキリスト教,ゾンターク，Ｍ,春,火,２ X204,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,世界史の中のキリスト教,ゾンターク，Ｍ,秋,火,２ X204,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,大学生の学び･社会で学ぶこと,辻　英之,春,火,２ 4402,池袋,2016年度以降1年次入学者対象科目,
CMP2100,多彩１,点字から考える人権,堀越　喜晴,秋,火,２ 5409,池袋,,
CMP2200,多彩２/主総Ａ２,ドイツ語圏の社会,飯田　道子,秋,火,２ 4402,池袋,,
CMP2100,多彩１,日本の宗教,吉橋　さやか,春,火,２ D501,池袋,,
CMP2300,多彩３/主総Ａ３,美術の歴史,毛塚　実江子,春,火,２ 7102,池袋,,
CMP1100,学び精神,美と生命について：キリスト教の美学,深田　麻里亜,春,火,２ 4342,池袋,2016年度以降1年次入学者対象科目,
CMP2110,多彩１,ボランティア論,平野　方紹豊永　はるか,春,火,２ 5121,池袋,,
CMP2100,多彩１/主総Ａ１,ヨーロッパの文化とことば,芝元　航平,秋,火,２ N323,新座,,
CMP2240,多彩２,立教ゼミナール２,小澤　康裕,秋,火,２ 1104,池袋,,
CMP3200,多彩２,立教ゼミナール発展編　２,舛谷　鋭,秋,火,２ N235,新座,,
CMP3400,多彩４,立教ゼミナール発展編　４,松尾　哲矢,秋,火,２ 6406,池袋,,
CMP3501,多彩５,立教ゼミナール発展編　５,佐良土　茂樹,秋,火,２ 7205,池袋,,
CMP2301,多彩３/主Ａ３,Literature and Society,ドーシィ，Ｊ．,秋,火,２ X207秋,木,１ X207,池袋,,
CMP2400,多彩４,アウトドアの知恵に学ぶ,鹿熊　勤,秋,火,３ N333,新座,,
CMP2400,多彩４,アウトドアの知恵に学ぶ,鹿熊　勤,春,火,３ 8202,池袋,,
CMP2231,多彩２/主総Ａ２,Politics and Economy 2,レイゼル，Ｍ．,秋,火,３ D502,池袋,,
CMP2110,多彩１,キャンパスデザインの思想と立教スピリット,阿部　善彦大島　博深田　麻里亜宮崎　光崎山　裕子坂田　奈々絵,春,火,３ 1203,池袋,,
CMP2100,多彩１/主総Ａ１,教育と人間,西山　晃生,秋,火,３ 5121,池袋,,
